dataset,method,sample_size,sample_pct,dataset_size,recall,precision,igd,hv_diff,pred_pf_size,true_pf_size,repeat
auto93,Random,50,12.56,398,0.15384615384615385,0.2857142857142857,0.1716131893565524,0.03864453986306131,7,13,0
auto93,Random,50,12.56,398,0.23076923076923078,0.2727272727272727,0.14762267667940812,0.0403551251008877,11,13,1
auto93,Random,50,12.56,398,0.07692307692307693,0.2,0.19570720272258058,0.05264370464232231,5,13,2
auto93,Random,50,12.56,398,0.38461538461538464,0.35714285714285715,0.1624987126111493,0.12035644022682565,14,13,3
auto93,Random,50,12.56,398,0.15384615384615385,0.16666666666666666,0.14965817959465244,0.1308324649762649,12,13,4
auto93,Random,50,12.56,398,0.3076923076923077,0.18181818181818182,0.1839416742831889,0.105561336570702,22,13,5
auto93,Random,50,12.56,398,0.46153846153846156,0.16216216216216217,0.08641113861660837,0.0019769740667520985,37,13,6
auto93,Random,50,12.56,398,0.15384615384615385,0.125,0.1778664928724263,0.10149942329873134,16,13,7
auto93,Random,50,12.56,398,0.07692307692307693,0.16666666666666666,0.18110544146827107,0.0659857700252468,6,13,8
auto93,Random,50,12.56,398,0.6153846153846154,0.5,0.093058833264297,0.10101010101010108,16,13,9
auto93,Random,50,12.56,398,0.38461538461538464,0.16666666666666666,0.09582568264909642,0.0055568418615420945,30,13,10
auto93,Random,50,12.56,398,0.3076923076923077,0.21052631578947367,0.1463773874776397,0.07007773523610628,19,13,11
auto93,Random,50,12.56,398,0.38461538461538464,0.38461538461538464,0.15611577361369863,0.09943541882705373,13,13,12
auto93,Random,50,12.56,398,0.3076923076923077,0.25,0.15608092852851563,0.06252166878539232,16,13,13
auto93,Random,50,12.56,398,0.15384615384615385,0.18181818181818182,0.13739911949413822,0.017816091954022978,11,13,14
auto93,Random,50,12.56,398,0.15384615384615385,0.09090909090909091,0.14847304166859557,0.09824318076745257,22,13,15
auto93,Random,50,12.56,398,0.0,0.0,0.13050536389229483,0.09573853793740598,19,13,16
auto93,Random,50,12.56,398,0.6153846153846154,0.27586206896551724,0.06820990119344733,0.026992732725804575,29,13,17
